time,duration,poserror,pulsestostop,delay,pos,speed,accel,initial delay
139924749,654,-206.000000,97,635.615662,-3849,1573.277710,12598.425781,6350.000000
139937699,595,-216.000000,118,576.815735,-3870,1733.655884,12598.425781,6350.000000
139949576,536,-224.000000,139,531.815430,-3891,1880.351685,12598.425781,6350.000000
139960696,517,-230.000000,160,495.941223,-3912,2016.367920,12598.425781,6350.000000
139971175,483,-233.000000,181,466.473206,-3933,2143.745850,12598.425781,6350.000000
139981055,444,-235.000000,202,441.705841,-3954,2263.950195,12598.425781,6350.000000
139990517,438,-236.000000,223,420.508850,-3975,2378.071289,12598.425781,6350.000000
139999552,418,-236.000000,236,410.548401,-3996,2435.766357,12598.425781,6350.000000
140008578,419,-237.000000,237,409.660187,-4017,2441.047607,12598.425781,6350.000000
140017582,419,-239.000000,238,407.067444,-4038,2456.595459,12598.425781,6350.000000
140026582,419,-237.000000,237,409.621918,-4059,2441.275635,12598.425781,6350.000000
140035589,418,-237.000000,238,408.739777,-4080,2446.544434,12598.425781,6350.000000
140044610,418,-237.000000,237,409.583771,-4101,2441.502930,12598.425781,6350.000000
140053735,418,-238.000000,238,408.701874,-4122,2446.771240,12598.425781,6350.000000
140062747,418,-238.000000,237,407.825684,-4143,2452.028076,12598.425781,6350.000000
140071776,418,-238.000000,238,408.663940,-4164,2446.998291,12598.425781,6350.000000
140080767,418,-239.000000,239,407.788086,-4185,2452.254150,12598.425781,6350.000000
140089798,418,-239.000000,238,406.917816,-4206,2457.498779,12598.425781,6350.000000
140098817,418,-240.000000,239,406.053131,-4227,2462.731934,12598.425781,6350.000000
140107843,424,-240.000000,240,406.880646,-4248,2457.723145,12598.425781,6350.000000
140116843,423,-240.000000,239,406.016205,-4269,2462.955811,12598.425781,6350.000000
140125855,424,-240.000000,240,406.843506,-4290,2457.947510,12598.425781,6350.000000
140134874,424,-240.000000,239,405.979431,-4311,2463.178955,12598.425781,6350.000000
140143903,424,-241.000000,240,405.120819,-4332,2468.399414,12598.425781,6350.000000
140152908,410,-241.000000,241,405.942780,-4353,2463.401367,12598.425781,6350.000000
140161912,414,-241.000000,240,405.084442,-4374,2468.621094,12598.425781,6350.000000
140170931,413,-242.000000,241,404.231567,-4395,2473.829590,12598.425781,6350.000000
140179931,413,-242.000000,242,405.048187,-4416,2468.842041,12598.425781,6350.000000
140188903,424,-242.000000,241,404.195618,-4437,2474.049561,12598.425781,6350.000000
140197883,424,-243.000000,242,403.348389,-4458,2479.246338,12598.425781,6350.000000
140206835,424,-243.000000,243,404.159729,-4479,2474.269287,12598.425781,6350.000000
140215767,418,-244.000000,242,403.312683,-4500,2479.465820,12598.425781,6350.000000
140224671,418,-244.000000,244,404.123871,-4521,2474.488770,12598.425781,6350.000000
140233640,418,-244.000000,243,403.277130,-4542,2479.684326,12598.425781,6350.000000
140242609,418,-244.000000,244,404.088226,-4563,2474.707031,12598.425781,6350.000000
140251558,418,-244.000000,243,403.241760,-4584,2479.901855,12598.425781,6350.000000
140260518,418,-244.000000,244,404.052612,-4605,2474.925293,12598.425781,6350.000000
140269419,417,-245.000000,245,403.206390,-4626,2480.119385,12598.425781,6350.000000
140278360,418,-245.000000,244,402.365509,-4647,2485.302490,12598.425781,6350.000000
140287262,418,-246.000000,245,401.529877,-4668,2490.474609,12598.425781,6350.000000
140296203,405,-246.000000,246,402.330444,-4689,2485.519043,12598.425781,6350.000000
140305163,420,-246.000000,245,401.495056,-4710,2490.690674,12598.425781,6350.000000
140314081,402,-246.000000,246,402.295441,-4731,2485.735352,12598.425781,6350.000000
140322993,404,-245.000000,245,403.100464,-4752,2480.771240,12598.425781,6350.000000
140331931,413,-245.000000,244,402.260193,-4773,2485.953125,12598.425781,6350.000000
140340818,418,-246.000000,245,401.425140,-4794,2491.124512,12598.425781,6350.000000
140349748,418,-247.000000,246,400.595428,-4815,2496.284180,12598.425781,6350.000000
140358638,419,-246.000000,247,401.390442,-4836,2491.339844,12598.425781,6350.000000
140367589,418,-246.000000,246,402.190125,-4857,2486.386230,12598.425781,6350.000000
140376498,417,-246.000000,245,401.355591,-4878,2491.556152,12598.425781,6350.000000
140385391,417,-245.000000,244,402.155182,-4899,2486.602295,12598.425781,6350.000000
140394281,418,-245.000000,245,402.959595,-4920,2481.638428,12598.425781,6350.000000
140403202,404,-246.000000,246,402.120331,-4941,2486.817871,12598.425781,6350.000000
140412139,420,-246.000000,245,401.286224,-4962,2491.986816,12598.425781,6350.000000
140421081,402,-246.000000,246,402.085358,-4983,2487.034180,12598.425781,6350.000000
140430002,421,-246.000000,245,401.251495,-5004,2492.202637,12598.425781,6350.000000
140438942,404,-246.000000,246,402.050415,-5025,2487.250244,12598.425781,6350.000000
140447864,405,-246.000000,245,401.216766,-5046,2492.418213,12598.425781,6350.000000
